BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Douglas Elliman  -111 Fifth Ave","Condo for sale",315000,2,1400,"2 E 55th St Unit 803","New York, NY 10022","2 E 55th St Unit 803, New York, NY 10022","New York County","New York",Manhattan,"East 55th Street","Regis Residence","Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834
"Brokered by Serhant","Condo for sale",195000000,10,17545,"Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse","New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse, New York, NY 10019","United States","New York","New York County","New York","West 57th Street","217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909
"Brokered by Sowae Corp","House for sale",260000,2,2015,"620 Sinclair Ave","Staten Island, NY 10312","620 Sinclair Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Sinclair Avenue","620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086
"Brokered by COMPASS","Condo for sale",69000,1,445,"2 E 55th St Unit 908W33","Manhattan, NY 10022","2 E 55th St Unit 908W33, Manhattan, NY 10022","United States","New York","New York County","New York","East 55th Street","2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
"Brokered by Sowae Corp","House for sale",690000,2,4004,"584 Park Pl","Brooklyn, NY 11238","584 Park Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Park Place","584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",899500,2,2208,"157 W 126th St Unit 1B","New York, NY 10027","157 W 126th St Unit 1B, New York, NY 10027","New York","New York County","New York",Manhattan,157,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777
"Brokered by Connie Profaci Realty","House for sale",16800000,16,33000,"177 Benedict Rd","Staten Island, NY 10304","177 Benedict Rd, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Benedict Road","177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235
"Brokered by Pantiga Group Inc.","Co-op for sale",265000,1,750,"875 Morrison Ave Apt 3M","Bronx, NY 10473","875 Morrison Ave Apt 3M, Bronx, NY 10473","Bronx County","The Bronx","East Bronx","Morrison Avenue","Parking lot","Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892
"Brokered by CENTURY 21 MK Realty","Co-op for sale",440000,1,978,"1350 Ocean Pkwy Apt 5G","Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5G, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Midwood,1350,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944
"Brokered by Re/Max Edge","Townhouse for sale",689000,2.5,1162,"456 Van Name Ave","Staten Island, NY 10303","456 Van Name Ave, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Van Name Avenue","456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058
"Brokered by COMPASS","Co-op for sale",259000,1,2198,"34-41 85th St Unit 1D","Jackson Heights, NY 11372","34-41 85th St Unit 1D, Jackson Heights, NY 11372","New York","Queens County",Queens,Flushing,34-41,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757
